课程名字，课程描述，课程链接
【学习 HTML】,HTML，即超文本标记语言（Hyper Text Markup Language）,www.runoob.com/html/html-tutorial.html
【学习 HTML5】,HTML5 是下一代 HTML 标准,www.runoob.com/html/html5-intro.html
【学习 CSS】,层叠样式表（Cascading StyleSheet）,www.runoob.com/css/css-tutorial.html
【学习 CSS3】,CSS3是CSS技术的升级版本,www.runoob.com/css3/css3-tutorial.html
【学习 Tailwind CSS】,功能丰富的、实用性优先的 CSS 框架,www.runoob.com/tailwindcss/tailwindcss-tutorial.html
【学习 Bootstrap4】,Bootstrap4 前端框架,www.runoob.com/bootstrap4/bootstrap4-tutorial.html
【学习 Bootstrap5】,Bootstrap5 目前是 Bootstrap 的最新版本,www.runoob.com/bootstrap5/bootstrap5-tutorial.html
【学习 Font Awesome】,Font Awesome 是一套绝佳的图标字体库和CSS框架。,www.runoob.com/font-awesome/fontawesome-tutorial.html
【学习 Foundation】,Foundation 用于开发响应式的 HTML, CSS and JavaScript 框架,www.runoob.com/foundation/foundation-tutorial.html
【学习 JavaScript】,JavaScript 是 Web 的编程语言,www.runoob.com/js/js-tutorial.html
【学习 HTML DOM】,HTML DOM 定义了访问和操作 HTML 文档的标准方法,www.runoob.com/htmldom/htmldom-tutorial.html
【学习 jQuery】,jQuery 是一个 JavaScript 库,www.runoob.com/jquery/jquery-tutorial.html
【学习 AngularJS】,AngularJS 通过新的属性和表达式扩展了 HTML,www.runoob.com/angularjs/angularjs-tutorial.html
【学习 AngularJS2】,AngularJS2 是一款开源JavaScript库，由Google维护。,www.runoob.com/angularjs2/angularjs2-tutorial.html
【学习 Vue.js】,Vue.js 是一套构建用户界面的渐进式框架。,www.runoob.com/vue2/vue-tutorial.html
【学习 Vue3】,Vue 是一套构建用户界面的渐进式框架。,www.runoob.com/vue3/vue3-tutorial.html
【学习 React】,React 是一个用于构建用户界面的 JAVASCRIPT 库,www.runoob.com/react/react-tutorial.html
【学习 Next.js】,基于 React 的开源框架,www.runoob.com/nextjs/nextjs-tutorial.html
